Staten Island,,
  August ,,
pbsisum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,37
Brake Lights (Defect.or Improper),113,1326
"Bus Lane, Driving in",1,80
Cell Phone,263,2838
Commercial Veh on Pkwy,5,25
Defective Brakes,2,7
Disobey Sign,543,5751
Equipment (Other),36,323
Fail to Keep Right,1,21
Fail to Signal,138,1677
Fail to Stop on Signal,143,1423
Following Too Closely,8,84
Headlights (Defect. or Improper),96,1202
Improper Lights,11,82
Improper Passing,9,112
Improper Turn,19,353
Improper/Missing Plates,29,338
Not Giving R of W to Pedes.,26,388
Not Giving R of W to Veh.,7,145
One Way Street,7,68
Pavement Markings,202,2295
Safety Belt,387,3486
"School Bus, Passing Stopped",0,84
Speeding,504,4369
Spillback,1,31
Tinted Windows,248,1533
Truck Routes,7,84
U-Turn,18,189
Uninspected,23,458
Uninsured,221,2358
Unlicensed Operator,286,3073
Unregistered,67,529
Unsafe Lane Change,11,98
Other Movers,320,2640
PBSI   TOTAL Movers ,3754,37507
