Midtown South Precinct,,
  August ,,
014sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,23
Brake Lights (Defect.or Improper),3,307
"Bus Lane, Driving in",0,2
Cell Phone,261,2095
Commercial Veh on Pkwy,0,0
Defective Brakes,0,11
Disobey Sign,362,2738
Equipment (Other),0,12
Fail to Keep Right,0,3
Fail to Signal,59,260
Fail to Stop on Signal,139,442
Following Too Closely,0,1
Headlights (Defect. or Improper),7,761
Improper Lights,0,6
Improper Passing,0,0
Improper Turn,313,2112
Improper/Missing Plates,0,3
Not Giving R of W to Pedes.,173,1196
Not Giving R of W to Veh.,1,6
One Way Street,16,89
Pavement Markings,39,115
Safety Belt,199,1654
"School Bus, Passing Stopped",0,2
Speeding,14,49
Spillback,118,708
Tinted Windows,14,300
Truck Routes,19,169
U-Turn,38,242
Uninspected,4,16
Uninsured,54,762
Unlicensed Operator,48,380
Unregistered,24,155
Unsafe Lane Change,34,173
Other Movers,147,774
014    TOTAL Movers ,2086,15566
