"Moving Violations",,
"84th Precinct",,
"  August ",,
084sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,18
"Brake Lights (Defect.or Improper)",9,140
"Bus Lane, Driving in",0,0
"Cell Phone",36,559
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,2
"Disobey Sign",130,1347
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",4,97
"Fail to Stop on Signal",111,559
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",17,201
"Improper Lights",0,2
"Improper Passing",14,145
"Improper Turn",136,1364
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",15,253
"Not Giving R of W to Veh.",2,6
"One Way Street",1,28
"Pavement Markings",155,1356
"Safety Belt",99,741
"School Bus, Passing Stopped",0,10
Speeding,15,129
Spillback,1,37
"Tinted Windows",32,481
"Truck Routes",6,42
U-Turn,3,37
Uninspected,5,26
Uninsured,48,412
"Unlicensed Operator",57,425
Unregistered,14,96
"Unsafe Lane Change",0,0
"Other Movers",27,247
"084    TOTAL Movers ",938,8761
"* All figures are preliminary and subject to change.",,
