109th Precinct,,
  August ,,
109sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,8
Brake Lights (Defect.or Improper),0,29
"Bus Lane, Driving in",0,0
Cell Phone,138,1673
Commercial Veh on Pkwy,0,1
Defective Brakes,0,1
Disobey Sign,619,5318
Equipment (Other),16,103
Fail to Keep Right,0,6
Fail to Signal,2,77
Fail to Stop on Signal,107,827
Following Too Closely,0,7
Headlights (Defect. or Improper),0,18
Improper Lights,0,0
Improper Passing,5,38
Improper Turn,74,487
Improper/Missing Plates,8,71
Not Giving R of W to Pedes.,44,621
Not Giving R of W to Veh.,20,128
One Way Street,10,35
Pavement Markings,3,148
Safety Belt,382,2945
"School Bus, Passing Stopped",0,48
Speeding,127,525
Spillback,7,78
Tinted Windows,118,1118
Truck Routes,2,89
U-Turn,11,70
Uninspected,9,62
Uninsured,23,252
Unlicensed Operator,98,885
Unregistered,15,147
Unsafe Lane Change,4,44
Other Movers,123,883
109    TOTAL Movers ,1966,16742
