"Moving Violations",,
"71st Precinct",,
"  August ",,
071sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",5,55
"Brake Lights (Defect.or Improper)",4,187
"Bus Lane, Driving in",11,152
"Cell Phone",142,1267
"Commercial Veh on Pkwy",4,7
"Defective Brakes",1,2
"Disobey Sign",344,2654
"Equipment (Other)",13,119
"Fail to Keep Right",0,0
"Fail to Signal",24,415
"Fail to Stop on Signal",98,803
"Following Too Closely",0,7
"Headlights (Defect. or Improper)",4,100
"Improper Lights",2,5
"Improper Passing",5,40
"Improper Turn",57,605
"Improper/Missing Plates",7,109
"Not Giving R of W to Pedes.",37,466
"Not Giving R of W to Veh.",10,148
"One Way Street",27,97
"Pavement Markings",68,640
"Safety Belt",123,813
"School Bus, Passing Stopped",0,18
Speeding,47,285
Spillback,1,39
"Tinted Windows",155,1255
"Truck Routes",14,108
U-Turn,4,41
Uninspected,14,351
Uninsured,69,736
"Unlicensed Operator",73,714
Unregistered,13,211
"Unsafe Lane Change",1,20
"Other Movers",35,455
"071    TOTAL Movers ",1412,12924
"* All figures are preliminary and subject to change.",,
