Manhattan North,,
  August ,,
pbmnsum,,
"",MTD   2014,YTD   2014
Backing Unsafely,16,137
Brake Lights (Defect.or Improper),176,2442
"Bus Lane, Driving in",9,69
Cell Phone,1187,11836
Commercial Veh on Pkwy,0,26
Defective Brakes,13,62
Disobey Sign,1121,10664
Equipment (Other),109,634
Fail to Keep Right,5,35
Fail to Signal,188,1898
Fail to Stop on Signal,1000,4851
Following Too Closely,7,26
Headlights (Defect. or Improper),102,1697
Improper Lights,1,25
Improper Passing,16,138
Improper Turn,796,9053
Improper/Missing Plates,11,187
Not Giving R of W to Pedes.,487,3871
Not Giving R of W to Veh.,29,207
One Way Street,210,709
Pavement Markings,274,2594
Safety Belt,624,6019
"School Bus, Passing Stopped",3,212
Speeding,609,2893
Spillback,8,80
Tinted Windows,232,2372
Truck Routes,54,817
U-Turn,78,1124
Uninspected,9,320
Uninsured,252,2418
Unlicensed Operator,243,2393
Unregistered,84,853
Unsafe Lane Change,20,422
Other Movers,664,3932
PBMN   TOTAL Movers ,8637,75016
