"Moving Violations",,
"90th Precinct",,
"  August ",,
090sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,4
"Brake Lights (Defect.or Improper)",27,321
"Bus Lane, Driving in",0,0
"Cell Phone",91,1138
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",48,417
"Equipment (Other)",1,3
"Fail to Keep Right",2,2
"Fail to Signal",17,135
"Fail to Stop on Signal",96,625
"Following Too Closely",0,6
"Headlights (Defect. or Improper)",21,168
"Improper Lights",0,6
"Improper Passing",1,30
"Improper Turn",109,656
"Improper/Missing Plates",2,27
"Not Giving R of W to Pedes.",19,178
"Not Giving R of W to Veh.",4,28
"One Way Street",54,369
"Pavement Markings",19,52
"Safety Belt",159,1088
"School Bus, Passing Stopped",0,7
Speeding,25,223
Spillback,0,7
"Tinted Windows",9,206
"Truck Routes",0,37
U-Turn,3,14
Uninspected,3,22
Uninsured,80,785
"Unlicensed Operator",35,331
Unregistered,11,55
"Unsafe Lane Change",1,4
"Other Movers",52,515
"090    TOTAL Movers ",889,7459
"* All figures are preliminary and subject to change.",,
