20th Precinct,,
  August ,,
020sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,5
Brake Lights (Defect.or Improper),5,115
"Bus Lane, Driving in",0,0
Cell Phone,161,1738
Commercial Veh on Pkwy,0,1
Defective Brakes,0,0
Disobey Sign,215,1488
Equipment (Other),12,82
Fail to Keep Right,0,1
Fail to Signal,18,184
Fail to Stop on Signal,109,537
Following Too Closely,0,1
Headlights (Defect. or Improper),6,93
Improper Lights,0,0
Improper Passing,0,2
Improper Turn,51,439
Improper/Missing Plates,0,6
Not Giving R of W to Pedes.,28,143
Not Giving R of W to Veh.,0,11
One Way Street,32,148
Pavement Markings,0,14
Safety Belt,46,661
"School Bus, Passing Stopped",1,44
Speeding,46,125
Spillback,0,0
Tinted Windows,27,104
Truck Routes,1,142
U-Turn,4,32
Uninspected,0,8
Uninsured,15,158
Unlicensed Operator,21,163
Unregistered,2,29
Unsafe Lane Change,2,47
Other Movers,55,340
020    TOTAL Movers ,858,6861
