67th Precinct,,
  August ,,
067sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,8,51
Brake Lights (Defect.or Improper),34,261
"Bus Lane, Driving in",3,118
Cell Phone,87,819
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,197,967
Equipment (Other),1,3
Fail to Keep Right,0,3
Fail to Signal,155,833
Fail to Stop on Signal,117,909
Following Too Closely,4,9
Headlights (Defect. or Improper),21,169
Improper Lights,0,4
Improper Passing,0,43
Improper Turn,17,380
Improper/Missing Plates,3,27
Not Giving R of W to Pedes.,49,271
Not Giving R of W to Veh.,4,48
One Way Street,2,17
Pavement Markings,67,523
Safety Belt,85,787
"School Bus, Passing Stopped",0,12
Speeding,64,491
Spillback,8,64
Tinted Windows,79,1139
Truck Routes,9,46
U-Turn,46,391
Uninspected,10,71
Uninsured,77,547
Unlicensed Operator,89,750
Unregistered,24,175
Unsafe Lane Change,6,28
Other Movers,200,1422
067    TOTAL Movers ,1466,11378
