41st Precinct,,
  August ,,
041sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,13
Brake Lights (Defect.or Improper),27,198
"Bus Lane, Driving in",0,0
Cell Phone,24,204
Commercial Veh on Pkwy,0,3
Defective Brakes,2,4
Disobey Sign,193,1260
Equipment (Other),6,49
Fail to Keep Right,0,1
Fail to Signal,9,72
Fail to Stop on Signal,37,342
Following Too Closely,1,23
Headlights (Defect. or Improper),63,491
Improper Lights,4,13
Improper Passing,0,13
Improper Turn,38,609
Improper/Missing Plates,2,22
Not Giving R of W to Pedes.,4,201
Not Giving R of W to Veh.,2,11
One Way Street,6,32
Pavement Markings,51,232
Safety Belt,39,338
"School Bus, Passing Stopped",0,13
Speeding,97,476
Spillback,0,14
Tinted Windows,84,887
Truck Routes,1,35
U-Turn,25,321
Uninspected,2,40
Uninsured,67,527
Unlicensed Operator,47,398
Unregistered,26,150
Unsafe Lane Change,5,13
Other Movers,28,123
041    TOTAL Movers ,891,7128
