"Moving Violations",,
"Brooklyn North",,
"  August ",,
pbbnsum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",19,222
"Brake Lights (Defect.or Improper)",302,3255
"Bus Lane, Driving in",3,17
"Cell Phone",1020,11077
"Commercial Veh on Pkwy",4,4
"Defective Brakes",5,46
"Disobey Sign",1468,11946
"Equipment (Other)",32,228
"Fail to Keep Right",9,30
"Fail to Signal",191,1683
"Fail to Stop on Signal",830,5830
"Following Too Closely",4,52
"Headlights (Defect. or Improper)",344,4134
"Improper Lights",11,53
"Improper Passing",54,598
"Improper Turn",495,4294
"Improper/Missing Plates",15,248
"Not Giving R of W to Pedes.",237,1792
"Not Giving R of W to Veh.",77,427
"One Way Street",126,671
"Pavement Markings",351,3019
"Safety Belt",1204,9817
"School Bus, Passing Stopped",1,139
Speeding,381,3234
Spillback,17,243
"Tinted Windows",555,6967
"Truck Routes",21,233
U-Turn,26,301
Uninspected,70,609
Uninsured,608,5337
"Unlicensed Operator",662,5448
Unregistered,194,1467
"Unsafe Lane Change",3,80
"Other Movers",883,6986
"PBBN   TOTAL Movers ",10222,90487
"* All figures are preliminary and subject to change.",,
