"Moving Violations",,
"73rd Precinct",,
"  August ",,
073sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",4,37
"Brake Lights (Defect.or Improper)",41,381
"Bus Lane, Driving in",0,0
"Cell Phone",220,1934
"Commercial Veh on Pkwy",0,0
"Defective Brakes",2,3
"Disobey Sign",205,1229
"Equipment (Other)",2,18
"Fail to Keep Right",1,2
"Fail to Signal",42,253
"Fail to Stop on Signal",56,641
"Following Too Closely",1,7
"Headlights (Defect. or Improper)",42,334
"Improper Lights",0,0
"Improper Passing",4,49
"Improper Turn",71,499
"Improper/Missing Plates",4,87
"Not Giving R of W to Pedes.",43,223
"Not Giving R of W to Veh.",40,146
"One Way Street",9,16
"Pavement Markings",28,278
"Safety Belt",242,1110
"School Bus, Passing Stopped",0,18
Speeding,25,328
Spillback,1,47
"Tinted Windows",111,1827
"Truck Routes",0,2
U-Turn,0,0
Uninspected,13,136
Uninsured,67,716
"Unlicensed Operator",99,761
Unregistered,49,277
"Unsafe Lane Change",0,11
"Other Movers",182,1062
"073    TOTAL Movers ",1604,12432
"* All figures are preliminary and subject to change.",,
