"Moving Violations",,
Bronx,,
"  August ",,
pbbxsum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",23,254
"Brake Lights (Defect.or Improper)",340,2945
"Bus Lane, Driving in",37,98
"Cell Phone",607,5694
"Commercial Veh on Pkwy",3,12
"Defective Brakes",8,26
"Disobey Sign",1152,10744
"Equipment (Other)",71,456
"Fail to Keep Right",9,61
"Fail to Signal",170,1807
"Fail to Stop on Signal",413,3227
"Following Too Closely",3,54
"Headlights (Defect. or Improper)",315,2929
"Improper Lights",18,95
"Improper Passing",18,121
"Improper Turn",695,6551
"Improper/Missing Plates",36,345
"Not Giving R of W to Pedes.",114,2061
"Not Giving R of W to Veh.",46,269
"One Way Street",38,207
"Pavement Markings",227,1998
"Safety Belt",657,6076
"School Bus, Passing Stopped",3,330
Speeding,717,5556
Spillback,14,168
"Tinted Windows",1178,10054
"Truck Routes",8,148
U-Turn,78,955
Uninspected,25,507
Uninsured,529,4686
"Unlicensed Operator",570,5082
Unregistered,158,1435
"Unsafe Lane Change",71,344
"Other Movers",369,2959
"PBBX   TOTAL Movers ",8720,78254
"* All figures are preliminary and subject to change.",,
