79th Precinct,,
  August ,,
079sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,29
Brake Lights (Defect.or Improper),41,349
"Bus Lane, Driving in",0,0
Cell Phone,97,1034
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,152,1593
Equipment (Other),0,3
Fail to Keep Right,0,0
Fail to Signal,0,0
Fail to Stop on Signal,114,752
Following Too Closely,0,5
Headlights (Defect. or Improper),21,591
Improper Lights,0,0
Improper Passing,23,224
Improper Turn,33,328
Improper/Missing Plates,1,30
Not Giving R of W to Pedes.,64,221
Not Giving R of W to Veh.,2,18
One Way Street,0,9
Pavement Markings,11,114
Safety Belt,81,616
"School Bus, Passing Stopped",1,42
Speeding,49,391
Spillback,11,66
Tinted Windows,43,337
Truck Routes,4,35
U-Turn,13,115
Uninspected,8,51
Uninsured,47,292
Unlicensed Operator,59,372
Unregistered,24,157
Unsafe Lane Change,0,0
Other Movers,26,277
079    TOTAL Movers ,925,8051
