"Moving Violations",,
Citywide,,
"  August ",,
citysum,,
"Offense Description","MTD 2014  ","YTD 2014  "
"Backing Unsafely",127,1364
"Brake Lights (Defect.or Improper)",1755,16646
"Bus Lane, Driving in",219,1973
"Cell Phone",8724,78935
"Commercial Veh on Pkwy",120,935
"Defective Brakes",37,235
"Disobey Sign",11686,107025
"Equipment (Other)",1101,6954
"Fail to Keep Right",40,216
"Fail to Signal",1639,15004
"Fail to Stop on Signal",5896,37509
"Following Too Closely",112,890
"Headlights (Defect. or Improper)",1421,15597
"Improper Lights",270,2746
"Improper Passing",412,3248
"Improper Turn",5451,52354
"Improper/Missing Plates",261,2406
"Not Giving R of W to Pedes.",2533,22810
"Not Giving R of W to Veh.",294,2289
"One Way Street",984,3552
"Pavement Markings",2331,21206
"Safety Belt",8637,74756
"School Bus, Passing Stopped",10,1937
Speeding,10834,75776
Spillback,382,3245
"Tinted Windows",5148,51343
"Truck Routes",243,3361
U-Turn,464,4950
Uninspected,380,4578
Uninsured,3661,34876
"Unlicensed Operator",4614,40284
Unregistered,965,8741
"Unsafe Lane Change",466,3884
"Other Movers",6972,48553
"TOTAL Movers ",88189,750178
,,
"* All figures are preliminary and subject to change.",,
