25th Precinct,,
  August ,,
025sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,4,23
Brake Lights (Defect.or Improper),18,293
"Bus Lane, Driving in",1,6
Cell Phone,110,1087
Commercial Veh on Pkwy,0,1
Defective Brakes,6,23
Disobey Sign,24,268
Equipment (Other),24,126
Fail to Keep Right,0,1
Fail to Signal,19,211
Fail to Stop on Signal,98,408
Following Too Closely,1,1
Headlights (Defect. or Improper),23,232
Improper Lights,0,4
Improper Passing,0,16
Improper Turn,89,1205
Improper/Missing Plates,3,61
Not Giving R of W to Pedes.,24,376
Not Giving R of W to Veh.,8,23
One Way Street,65,128
Pavement Markings,3,148
Safety Belt,85,941
"School Bus, Passing Stopped",0,25
Speeding,20,98
Spillback,1,8
Tinted Windows,53,718
Truck Routes,2,192
U-Turn,36,305
Uninspected,1,32
Uninsured,52,320
Unlicensed Operator,28,322
Unregistered,13,116
Unsafe Lane Change,3,25
Other Movers,36,551
025    TOTAL Movers ,850,8294
