48th Precinct,,
  August ,,
048sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,4,16
Brake Lights (Defect.or Improper),39,149
"Bus Lane, Driving in",29,52
Cell Phone,77,570
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,54,547
Equipment (Other),4,23
Fail to Keep Right,3,10
Fail to Signal,20,318
Fail to Stop on Signal,67,311
Following Too Closely,0,6
Headlights (Defect. or Improper),38,138
Improper Lights,1,2
Improper Passing,0,10
Improper Turn,153,822
Improper/Missing Plates,1,8
Not Giving R of W to Pedes.,6,148
Not Giving R of W to Veh.,3,14
One Way Street,1,8
Pavement Markings,7,165
Safety Belt,97,393
"School Bus, Passing Stopped",0,14
Speeding,192,1349
Spillback,7,40
Tinted Windows,164,888
Truck Routes,2,24
U-Turn,2,54
Uninspected,1,15
Uninsured,23,173
Unlicensed Operator,92,483
Unregistered,8,76
Unsafe Lane Change,0,3
Other Movers,19,152
048    TOTAL Movers ,1114,6981
