28th Precinct,,
  August ,,
028sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,7
Brake Lights (Defect.or Improper),15,81
"Bus Lane, Driving in",2,13
Cell Phone,111,978
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,123,873
Equipment (Other),9,34
Fail to Keep Right,1,11
Fail to Signal,6,63
Fail to Stop on Signal,182,637
Following Too Closely,0,3
Headlights (Defect. or Improper),2,44
Improper Lights,0,0
Improper Passing,1,6
Improper Turn,51,497
Improper/Missing Plates,0,3
Not Giving R of W to Pedes.,35,343
Not Giving R of W to Veh.,19,97
One Way Street,4,10
Pavement Markings,2,29
Safety Belt,197,893
"School Bus, Passing Stopped",0,12
Speeding,14,405
Spillback,1,23
Tinted Windows,9,173
Truck Routes,11,67
U-Turn,20,345
Uninspected,3,61
Uninsured,20,118
Unlicensed Operator,24,153
Unregistered,8,52
Unsafe Lane Change,1,21
Other Movers,68,445
028    TOTAL Movers ,939,6497
