"Moving Violations",,
"40th Precinct",,
"  August ",,
040sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,15
"Brake Lights (Defect.or Improper)",59,362
"Bus Lane, Driving in",0,0
"Cell Phone",60,611
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",140,889
"Equipment (Other)",23,105
"Fail to Keep Right",2,27
"Fail to Signal",12,142
"Fail to Stop on Signal",49,404
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",50,491
"Improper Lights",0,2
"Improper Passing",4,24
"Improper Turn",113,947
"Improper/Missing Plates",0,10
"Not Giving R of W to Pedes.",8,322
"Not Giving R of W to Veh.",9,68
"One Way Street",7,21
"Pavement Markings",17,75
"Safety Belt",52,573
"School Bus, Passing Stopped",1,32
Speeding,85,633
Spillback,4,55
"Tinted Windows",132,1334
"Truck Routes",0,11
U-Turn,10,90
Uninspected,1,17
Uninsured,108,837
"Unlicensed Operator",68,673
Unregistered,12,115
"Unsafe Lane Change",2,14
"Other Movers",32,296
"040    TOTAL Movers ",1061,9198
"* All figures are preliminary and subject to change.",,
