"Moving Violations",,
"120th Precinct",,
"  August ",,
120sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,13
"Brake Lights (Defect.or Improper)",8,361
"Bus Lane, Driving in",0,1
"Cell Phone",75,825
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",88,1356
"Equipment (Other)",13,125
"Fail to Keep Right",1,9
"Fail to Signal",14,401
"Fail to Stop on Signal",28,505
"Following Too Closely",0,7
"Headlights (Defect. or Improper)",8,330
"Improper Lights",0,5
"Improper Passing",4,27
"Improper Turn",2,59
"Improper/Missing Plates",7,102
"Not Giving R of W to Pedes.",10,225
"Not Giving R of W to Veh.",0,40
"One Way Street",1,16
"Pavement Markings",37,513
"Safety Belt",75,838
"School Bus, Passing Stopped",0,25
Speeding,106,747
Spillback,0,5
"Tinted Windows",84,361
"Truck Routes",0,1
U-Turn,1,24
Uninspected,6,133
Uninsured,26,422
"Unlicensed Operator",67,1014
Unregistered,20,197
"Unsafe Lane Change",0,10
"Other Movers",79,951
"120    TOTAL Movers ",761,9648
"* All figures are preliminary and subject to change.",,
