"Moving Violations",,
"108th Precinct",,
"  August ",,
108sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,19
"Brake Lights (Defect.or Improper)",8,177
"Bus Lane, Driving in",0,0
"Cell Phone",111,1023
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",210,1888
"Equipment (Other)",11,30
"Fail to Keep Right",1,3
"Fail to Signal",2,33
"Fail to Stop on Signal",119,427
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",3,68
"Improper Lights",0,0
"Improper Passing",2,11
"Improper Turn",140,1106
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",79,334
"Not Giving R of W to Veh.",0,3
"One Way Street",15,24
"Pavement Markings",2,14
"Safety Belt",119,791
"School Bus, Passing Stopped",0,10
Speeding,69,371
Spillback,2,17
"Tinted Windows",30,329
"Truck Routes",0,111
U-Turn,1,3
Uninspected,3,36
Uninsured,34,459
"Unlicensed Operator",49,483
Unregistered,4,56
"Unsafe Lane Change",5,10
"Other Movers",105,670
"108    TOTAL Movers ",1126,8509
"* All figures are preliminary and subject to change.",,
