"Moving Violations",,
"101st Precinct",,
"  August ",,
101sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,24
"Brake Lights (Defect.or Improper)",125,787
"Bus Lane, Driving in",0,0
"Cell Phone",68,485
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Sign",68,744
"Equipment (Other)",22,160
"Fail to Keep Right",0,0
"Fail to Signal",5,52
"Fail to Stop on Signal",51,293
"Following Too Closely",0,5
"Headlights (Defect. or Improper)",132,1006
"Improper Lights",0,8
"Improper Passing",9,34
"Improper Turn",6,104
"Improper/Missing Plates",5,38
"Not Giving R of W to Pedes.",12,109
"Not Giving R of W to Veh.",3,10
"One Way Street",8,20
"Pavement Markings",4,41
"Safety Belt",71,554
"School Bus, Passing Stopped",0,14
Speeding,73,423
Spillback,0,0
"Tinted Windows",94,828
"Truck Routes",0,4
U-Turn,0,7
Uninspected,11,151
Uninsured,119,1548
"Unlicensed Operator",129,1228
Unregistered,25,148
"Unsafe Lane Change",0,2
"Other Movers",29,276
"101    TOTAL Movers ",1071,9106
"* All figures are preliminary and subject to change.",,
