114th Precinct,,
  August ,,
114sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,7
Brake Lights (Defect.or Improper),0,0
"Bus Lane, Driving in",0,0
Cell Phone,164,1697
Commercial Veh on Pkwy,0,4
Defective Brakes,0,0
Disobey Sign,343,2335
Equipment (Other),8,19
Fail to Keep Right,0,1
Fail to Signal,6,121
Fail to Stop on Signal,72,587
Following Too Closely,0,1
Headlights (Defect. or Improper),0,0
Improper Lights,7,77
Improper Passing,0,27
Improper Turn,63,411
Improper/Missing Plates,0,5
Not Giving R of W to Pedes.,5,194
Not Giving R of W to Veh.,3,18
One Way Street,3,32
Pavement Markings,26,305
Safety Belt,161,1206
"School Bus, Passing Stopped",0,7
Speeding,40,470
Spillback,0,8
Tinted Windows,54,667
Truck Routes,1,61
U-Turn,0,0
Uninspected,1,24
Uninsured,38,425
Unlicensed Operator,61,625
Unregistered,1,9
Unsafe Lane Change,0,0
Other Movers,100,718
114    TOTAL Movers ,1157,10061
