"Moving Violations",,
"Midtown North Precinct",,
"    July ",,
018sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",2,13
"Brake Lights (Defect.or Improper)",35,238
"Bus Lane, Driving in",2,61
"Cell Phone",108,752
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",71,480
"Disobey Traffic Control Device",298,2081
"Equipment (Other)",3,15
"Fail to Keep Right",1,2
"Fail to Signal",18,235
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",25,241
"Improper Lights",0,0
"Improper Passing",0,2
"Improper Turn",212,920
"Improper/Missing Plates",9,94
"Not Giving R of W to Pedes.",81,221
"Not Giving R of W to Veh.",1,6
"OBSTRUCTED PLATE",4,5
"One Way Street",3,61
"Pavement Markings",5,38
"Safety Belt",89,474
"School Bus, Passing Stopped",0,4
Speeding,47,187
Spillback,0,15
"Tinted Windows",56,371
"Truck Routes",2,2
U-Turn,10,59
Uninspected,1,7
Uninsured,22,196
"Unlicensed Operator",35,206
Unregistered,21,150
"Unsafe Lane Change",3,63
"Other Movers",52,317
"018TOTAL Movers ",1216,7517
,,
"* All figures are preliminary and subject to change.",,
