"Moving Violations",,
"103rd Precinct",,
"    July ",,
103sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",1,10
"Brake Lights (Defect.or Improper)",0,13
"Bus Lane, Driving in",0,0
"Cell Phone",56,461
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",31,285
"Disobey Traffic Control Device",247,1810
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",10,102
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",0,19
"Improper Lights",1,13
"Improper Passing",0,1
"Improper Turn",82,495
"Improper/Missing Plates",0,28
"Not Giving R of W to Pedes.",39,418
"Not Giving R of W to Veh.",0,13
"OBSTRUCTED PLATE",0,8
"One Way Street",2,9
"Pavement Markings",2,41
"Safety Belt",130,721
"School Bus, Passing Stopped",1,14
Speeding,5,220
Spillback,0,20
"Tinted Windows",44,1271
"Truck Routes",7,70
U-Turn,9,156
Uninspected,0,10
Uninsured,12,77
"Unlicensed Operator",87,678
Unregistered,6,42
"Unsafe Lane Change",0,15
"Other Movers",74,543
"103TOTAL Movers ",846,7564
,,
"* All figures are preliminary and subject to change.",,
