"Moving Violations",,
"Queens North",,
"October  ",,
pbqnsum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",5,57
"Brake Lights (Defect.or Improper)",7,71
"Bus Lane, Driving in",0,21
"Cell Phone",737,7684
"Commercial Veh on Pkwy",0,8
"Defective Brakes",0,0
"Disobey Steady Red Signal",754,6067
"Disobey Traffic Control Device",1989,19996
"Equipment (Other)",55,1071
"Fail to Keep Right",0,14
"Fail to Signal",112,924
"Following Too Closely",1,14
"Headlights (Defect. or Improper)",5,79
"Improper Lights",41,452
"Improper Passing",31,298
"Improper Turn",443,4127
"Improper/Missing Plates",37,288
"Lamps and Other Equipment on Bicycle",50,181
"Not Giving R of W to Pedes.",551,6433
"Not Giving R of W to Veh.",28,191
"OBSTRUCTED PLATE",20,368
"One Way Street",11,141
"Pavement Markings",57,416
"Safety Belt",851,10186
"School Bus, Passing Stopped",27,192
Speeding,1010,7170
Spillback,3,43
"Tinted Windows",397,4567
"Truck Routes",6,176
U-Turn,11,70
Uninspected,18,166
Uninsured,51,802
"Unlicensed Operator",600,5352
Unregistered,54,501
"Unsafe Lane Change",5,126
"Other Movers",939,8428
"PBQNTOTAL Movers ",8906,86680
,,
"* All figures are preliminary and subject to change.",,
