28th Precinct,,
Backing Unsafely,0,2
Brake Lights (Defect.or Improper),0,18
"Bus Lane, Driving in",0,1
Cell Phone,46,498
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,172,816
Disobey Traffic Control Device,153,1449
Equipment (Other),36,155
Fail to Keep Right,0,0
Fail to Signal,8,47
Following Too Closely,1,4
Headlights (Defect. or Improper),3,32
Improper Lights,0,4
Improper Passing,0,14
Improper Turn,174,951
Improper/Missing Plates,1,8
Lamps and Other Equipment on Bicycle,0,0
Not Giving R of W to Pedes.,63,541
Not Giving R of W to Veh.,2,7
OBSTRUCTED PLATE,0,9
One Way Street,0,1
Pavement Markings,0,6
Safety Belt,74,693
"School Bus, Passing Stopped",0,15
Speeding,44,346
Spillback,0,1
Tinted Windows,25,276
Truck Routes,0,5
U-Turn,4,77
Uninspected,7,46
Uninsured,8,68
Unlicensed Operator,21,198
Unregistered,2,43
Unsafe Lane Change,0,2
Other Movers,48,373
TOTAL Movers,892,6706
