"Moving Violations",,
"Queens South",,
"November ",,
pbqssum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",8,71
"Brake Lights (Defect.or Improper)",39,424
"Bus Lane, Driving in",0,0
"Cell Phone",394,5013
"Commercial Veh on Pkwy",1,29
"Defective Brakes",0,4
"Disobey Steady Red Signal",444,4528
"Disobey Traffic Control Device",1504,16604
"Equipment (Other)",3,214
"Fail to Keep Right",0,12
"Fail to Signal",148,1019
"Following Too Closely",24,43
"Headlights (Defect. or Improper)",16,276
"Improper Lights",75,598
"Improper Passing",22,264
"Improper Turn",619,8664
"Improper/Missing Plates",12,231
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",235,2768
"Not Giving R of W to Veh.",9,185
"OBSTRUCTED PLATE",14,377
"One Way Street",4,57
"Pavement Markings",110,988
"Safety Belt",547,6192
"School Bus, Passing Stopped",5,102
Speeding,767,6459
Spillback,1,35
"Tinted Windows",410,4876
"Truck Routes",22,348
U-Turn,18,223
Uninspected,12,373
Uninsured,181,2501
"Unlicensed Operator",522,6013
Unregistered,54,979
"Unsafe Lane Change",9,108
"Other Movers",583,6543
"PBQSTOTAL Movers ",6812,77121
,,
"* All figures are preliminary and subject to change.",,
