"Moving Violations",,
"Brooklyn South",,
"November ",,
pbbssum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",17,187
"Brake Lights (Defect.or Improper)",41,473
"Bus Lane, Driving in",3,68
"Cell Phone",951,12833
"Commercial Veh on Pkwy",7,86
"Defective Brakes",0,3
"Disobey Steady Red Signal",998,9929
"Disobey Traffic Control Device",2054,21060
"Equipment (Other)",64,1050
"Fail to Keep Right",1,5
"Fail to Signal",165,2363
"Following Too Closely",1,27
"Headlights (Defect. or Improper)",61,550
"Improper Lights",3,36
"Improper Passing",63,719
"Improper Turn",492,6441
"Improper/Missing Plates",49,663
"Lamps and Other Equipment on Bicycle",13,66
"Not Giving R of W to Pedes.",926,8620
"Not Giving R of W to Veh.",57,631
"OBSTRUCTED PLATE",69,988
"One Way Street",24,296
"Pavement Markings",192,1877
"Safety Belt",1155,14200
"School Bus, Passing Stopped",23,422
Speeding,790,9132
Spillback,9,123
"Tinted Windows",991,12617
"Truck Routes",33,321
U-Turn,49,479
Uninspected,26,476
Uninsured,244,2888
"Unlicensed Operator",658,7967
Unregistered,98,1350
"Unsafe Lane Change",41,578
"Other Movers",1012,10857
"PBBSTOTAL Movers ",11380,130381
,,
"* All figures are preliminary and subject to change.",,
