68th Precinct,,
     May ,,
068sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,0
Brake Lights (Defect.or Improper),0,23
"Bus Lane, Driving in",0,0
Cell Phone,74,366
Commercial Veh on Pkwy,0,17
Defective Brakes,0,0
Disobey Steady Red Signal,41,289
Disobey Traffic Control Device,55,288
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,9,33
Following Too Closely,2,5
Headlights (Defect. or Improper),0,22
Improper Lights,0,0
Improper Passing,6,22
Improper Turn,71,366
Improper/Missing Plates,3,8
Not Giving R of W to Pedes.,48,311
Not Giving R of W to Veh.,2,20
One Way Street,0,1
Pavement Markings,9,71
Safety Belt,113,455
"School Bus, Passing Stopped",0,11
Speeding,62,196
Spillback,1,8
Tinted Windows,30,190
Truck Routes,4,48
U-Turn,1,8
Uninspected,0,1
Uninsured,20,131
Unlicensed Operator,49,183
Unregistered,20,60
Unsafe Lane Change,2,8
Other Movers,57,172
068    TOTAL Movers ,679,3313
