"Moving Violations",,
"79th Precinct",,
"     May ",,
079sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,15
"Brake Lights (Defect.or Improper)",34,196
"Bus Lane, Driving in",0,0
"Cell Phone",101,476
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",67,458
"Disobey Traffic Control Device",261,1354
"Equipment (Other)",0,0
"Fail to Keep Right",0,4
"Fail to Signal",0,0
"Following Too Closely",1,4
"Headlights (Defect. or Improper)",7,129
"Improper Lights",0,1
"Improper Passing",3,28
"Improper Turn",71,408
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",20,123
"Not Giving R of W to Veh.",0,5
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",79,249
"School Bus, Passing Stopped",6,19
Speeding,46,202
Spillback,3,6
"Tinted Windows",31,278
"Truck Routes",5,31
U-Turn,1,34
Uninspected,6,20
Uninsured,23,159
"Unlicensed Operator",58,291
Unregistered,24,104
"Unsafe Lane Change",5,10
"Other Movers",46,158
"079    TOTAL Movers ",899,4763
"* All figures are preliminary and subject to change.",,
