"Moving Violations",,
"Brooklyn South",,
"     May ",,
pbbssum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",14,112
"Brake Lights (Defect.or Improper)",68,378
"Bus Lane, Driving in",9,47
"Cell Phone",1582,5955
"Commercial Veh on Pkwy",0,20
"Defective Brakes",0,1
"Disobey Steady Red Signal",604,2952
"Disobey Traffic Control Device",1869,9226
"Equipment (Other)",96,244
"Fail to Keep Right",2,8
"Fail to Signal",279,1568
"Following Too Closely",20,59
"Headlights (Defect. or Improper)",54,576
"Improper Lights",8,71
"Improper Passing",72,322
"Improper Turn",742,3508
"Improper/Missing Plates",77,351
"Not Giving R of W to Pedes.",517,2805
"Not Giving R of W to Veh.",64,292
"One Way Street",17,155
"Pavement Markings",184,916
"Safety Belt",1885,6386
"School Bus, Passing Stopped",27,264
Speeding,542,2333
Spillback,17,148
"Tinted Windows",1102,5668
"Truck Routes",30,224
U-Turn,87,506
Uninspected,52,226
Uninsured,470,2248
"Unlicensed Operator",708,3172
Unregistered,131,632
"Unsafe Lane Change",66,284
"Other Movers",891,2956
"PBBS   TOTAL Movers ",12286,54613
"* All figures are preliminary and subject to change.",,
