66th Precinct,,
     May ,,
066sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,1
Brake Lights (Defect.or Improper),2,13
"Bus Lane, Driving in",0,0
Cell Phone,217,680
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,25,121
Disobey Traffic Control Device,120,580
Equipment (Other),0,2
Fail to Keep Right,1,1
Fail to Signal,60,278
Following Too Closely,0,1
Headlights (Defect. or Improper),0,6
Improper Lights,0,0
Improper Passing,2,2
Improper Turn,2,46
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,28,163
Not Giving R of W to Veh.,0,1
One Way Street,0,0
Pavement Markings,4,7
Safety Belt,184,814
"School Bus, Passing Stopped",5,34
Speeding,45,159
Spillback,0,0
Tinted Windows,62,350
Truck Routes,4,111
U-Turn,2,3
Uninspected,1,5
Uninsured,30,168
Unlicensed Operator,44,204
Unregistered,1,33
Unsafe Lane Change,1,1
Other Movers,88,273
066    TOTAL Movers ,928,4057
