101st Precinct,,
     May ,,
101sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,5
Brake Lights (Defect.or Improper),25,181
"Bus Lane, Driving in",0,0
Cell Phone,89,330
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,24,174
Disobey Traffic Control Device,57,379
Equipment (Other),5,30
Fail to Keep Right,0,0
Fail to Signal,10,96
Following Too Closely,0,2
Headlights (Defect. or Improper),14,210
Improper Lights,0,7
Improper Passing,6,18
Improper Turn,17,49
Improper/Missing Plates,5,17
Not Giving R of W to Pedes.,11,81
Not Giving R of W to Veh.,0,3
One Way Street,0,3
Pavement Markings,3,21
Safety Belt,82,285
"School Bus, Passing Stopped",5,13
Speeding,103,375
Spillback,0,2
Tinted Windows,55,349
Truck Routes,2,10
U-Turn,1,3
Uninspected,4,32
Uninsured,24,207
Unlicensed Operator,76,457
Unregistered,8,38
Unsafe Lane Change,0,1
Other Movers,48,175
101    TOTAL Movers ,674,3553
