"Moving Violations",,
"Patrol Bureau",,
"     May ",,
patrolsum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",79,575
"Brake Lights (Defect.or Improper)",1061,6797
"Bus Lane, Driving in",64,389
"Cell Phone",9620,33750
"Commercial Veh on Pkwy",15,52
"Defective Brakes",5,44
"Disobey Steady Red Signal",3734,18598
"Disobey Traffic Control Device",12241,59180
"Equipment (Other)",428,1435
"Fail to Keep Right",36,147
"Fail to Signal",1704,9355
"Following Too Closely",47,206
"Headlights (Defect. or Improper)",737,6774
"Improper Lights",128,978
"Improper Passing",265,1324
"Improper Turn",6731,30278
"Improper/Missing Plates",276,1196
"Not Giving R of W to Pedes.",2527,14124
"Not Giving R of W to Veh.",269,1326
"One Way Street",283,1249
"Pavement Markings",903,5152
"Safety Belt",9332,32713
"School Bus, Passing Stopped",184,1407
Speeding,3529,16471
Spillback,243,1097
"Tinted Windows",5043,29554
"Truck Routes",300,1498
U-Turn,329,2256
Uninspected,245,1146
Uninsured,2432,13107
"Unlicensed Operator",4429,19736
Unregistered,882,3940
"Unsafe Lane Change",423,2311
"Other Movers",5555,19183
"PATROL TOTAL Movers ",74079,337348
"* All figures are preliminary and subject to change.",,
