"Moving Violations",,
"104th Precinct",,
"     May ",,
104sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",2,3
"Brake Lights (Defect.or Improper)",0,21
"Bus Lane, Driving in",0,0
"Cell Phone",121,467
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",46,217
"Disobey Traffic Control Device",125,590
"Equipment (Other)",0,0
"Fail to Keep Right",0,1
"Fail to Signal",27,105
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",0,9
"Improper Lights",0,0
"Improper Passing",10,23
"Improper Turn",34,167
"Improper/Missing Plates",14,31
"Not Giving R of W to Pedes.",32,220
"Not Giving R of W to Veh.",2,14
"One Way Street",1,1
"Pavement Markings",0,1
"Safety Belt",150,546
"School Bus, Passing Stopped",0,14
Speeding,76,314
Spillback,1,6
"Tinted Windows",67,408
"Truck Routes",23,89
U-Turn,3,14
Uninspected,5,21
Uninsured,3,52
"Unlicensed Operator",53,232
Unregistered,14,52
"Unsafe Lane Change",2,12
"Other Movers",145,411
"104    TOTAL Movers ",956,4045
"* All figures are preliminary and subject to change.",,
