"Moving Violations",,
"112th Precinct",,
"     May ",,
112sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",1,6
"Bus Lane, Driving in",0,0
"Cell Phone",68,227
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,0
"Disobey Steady Red Signal",37,247
"Disobey Traffic Control Device",158,1130
"Equipment (Other)",5,38
"Fail to Keep Right",1,1
"Fail to Signal",12,28
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",1,7
"Improper Lights",0,0
"Improper Passing",0,2
"Improper Turn",34,213
"Improper/Missing Plates",2,7
"Not Giving R of W to Pedes.",66,430
"Not Giving R of W to Veh.",3,6
"One Way Street",5,18
"Pavement Markings",0,0
"Safety Belt",163,569
"School Bus, Passing Stopped",0,16
Speeding,40,310
Spillback,0,0
"Tinted Windows",39,391
"Truck Routes",0,6
U-Turn,0,2
Uninspected,1,5
Uninsured,32,118
"Unlicensed Operator",35,153
Unregistered,2,22
"Unsafe Lane Change",0,3
"Other Movers",35,132
"112    TOTAL Movers ",740,4089
"* All figures are preliminary and subject to change.",,
