Midtown South Precinct,,
     May ,,
014sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,2,14
Brake Lights (Defect.or Improper),27,102
"Bus Lane, Driving in",0,0
Cell Phone,374,1193
Commercial Veh on Pkwy,0,0
Defective Brakes,0,5
Disobey Steady Red Signal,42,184
Disobey Traffic Control Device,363,1789
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,106,524
Following Too Closely,0,0
Headlights (Defect. or Improper),20,126
Improper Lights,0,2
Improper Passing,0,15
Improper Turn,343,1200
Improper/Missing Plates,0,2
Not Giving R of W to Pedes.,261,918
Not Giving R of W to Veh.,0,1
One Way Street,16,108
Pavement Markings,6,24
Safety Belt,259,951
"School Bus, Passing Stopped",0,0
Speeding,22,107
Spillback,81,362
Tinted Windows,13,136
Truck Routes,23,101
U-Turn,34,150
Uninspected,0,6
Uninsured,49,336
Unlicensed Operator,40,176
Unregistered,17,79
Unsafe Lane Change,24,120
Other Movers,92,621
014    TOTAL Movers ,2214,9352
