"Moving Violations",,
"48th Precinct",,
"     May ",,
048sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",3,6
"Brake Lights (Defect.or Improper)",18,145
"Bus Lane, Driving in",0,1
"Cell Phone",81,361
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",38,188
"Disobey Traffic Control Device",62,337
"Equipment (Other)",2,11
"Fail to Keep Right",1,2
"Fail to Signal",19,129
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",24,238
"Improper Lights",0,2
"Improper Passing",1,4
"Improper Turn",120,514
"Improper/Missing Plates",0,4
"Not Giving R of W to Pedes.",7,89
"Not Giving R of W to Veh.",5,18
"One Way Street",1,6
"Pavement Markings",51,187
"Safety Belt",94,263
"School Bus, Passing Stopped",4,20
Speeding,137,499
Spillback,7,40
"Tinted Windows",134,578
"Truck Routes",1,19
U-Turn,2,34
Uninspected,2,6
Uninsured,26,123
"Unlicensed Operator",51,271
Unregistered,19,62
"Unsafe Lane Change",0,4
"Other Movers",41,152
"048    TOTAL Movers ",951,4316
"* All figures are preliminary and subject to change.",,
