24th Precinct,,
     May ,,
024sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,0
Brake Lights (Defect.or Improper),9,47
"Bus Lane, Driving in",0,0
Cell Phone,100,466
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,56,221
Disobey Traffic Control Device,164,818
Equipment (Other),19,37
Fail to Keep Right,1,1
Fail to Signal,8,94
Following Too Closely,0,0
Headlights (Defect. or Improper),7,111
Improper Lights,0,0
Improper Passing,0,0
Improper Turn,79,384
Improper/Missing Plates,1,1
Not Giving R of W to Pedes.,23,257
Not Giving R of W to Veh.,13,13
One Way Street,3,18
Pavement Markings,0,0
Safety Belt,43,135
"School Bus, Passing Stopped",1,27
Speeding,39,184
Spillback,1,4
Tinted Windows,3,17
Truck Routes,2,3
U-Turn,0,0
Uninspected,2,5
Uninsured,21,65
Unlicensed Operator,21,87
Unregistered,15,28
Unsafe Lane Change,1,14
Other Movers,39,66
024    TOTAL Movers ,671,3103
