"Moving Violations",,
"Midtown North Precinct",,
"     May ",,
018sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,9
"Brake Lights (Defect.or Improper)",21,188
"Bus Lane, Driving in",8,33
"Cell Phone",185,562
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",30,276
"Disobey Traffic Control Device",115,1198
"Equipment (Other)",2,3
"Fail to Keep Right",0,0
"Fail to Signal",13,34
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",21,237
"Improper Lights",0,0
"Improper Passing",0,1
"Improper Turn",290,1024
"Improper/Missing Plates",11,54
"Not Giving R of W to Pedes.",55,160
"Not Giving R of W to Veh.",0,2
"One Way Street",24,30
"Pavement Markings",9,41
"Safety Belt",177,460
"School Bus, Passing Stopped",0,2
Speeding,22,32
Spillback,14,20
"Tinted Windows",13,50
"Truck Routes",0,0
U-Turn,3,22
Uninspected,3,3
Uninsured,28,191
"Unlicensed Operator",24,113
Unregistered,24,69
"Unsafe Lane Change",5,31
"Other Movers",28,191
"018    TOTAL Movers ",1126,5036
"* All figures are preliminary and subject to change.",,
