78th Precinct,,
     May ,,
078sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,2,7
Brake Lights (Defect.or Improper),4,29
"Bus Lane, Driving in",0,0
Cell Phone,89,353
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,46,194
Disobey Traffic Control Device,258,1008
Equipment (Other),15,28
Fail to Keep Right,0,1
Fail to Signal,16,100
Following Too Closely,0,0
Headlights (Defect. or Improper),1,22
Improper Lights,0,0
Improper Passing,3,8
Improper Turn,2,36
Improper/Missing Plates,3,4
Not Giving R of W to Pedes.,34,138
Not Giving R of W to Veh.,1,4
One Way Street,0,2
Pavement Markings,17,64
Safety Belt,119,384
"School Bus, Passing Stopped",1,17
Speeding,43,131
Spillback,4,10
Tinted Windows,24,155
Truck Routes,0,4
U-Turn,19,79
Uninspected,0,3
Uninsured,22,85
Unlicensed Operator,22,99
Unregistered,4,16
Unsafe Lane Change,1,3
Other Movers,13,51
078    TOTAL Movers ,763,3035
