"Moving Violations",,
"111th Precinct",,
"     May ",,
111sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,1
"Brake Lights (Defect.or Improper)",1,14
"Bus Lane, Driving in",0,0
"Cell Phone",311,890
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",25,103
"Disobey Traffic Control Device",77,199
"Equipment (Other)",2,2
"Fail to Keep Right",0,0
"Fail to Signal",6,26
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",1,24
"Improper Lights",1,39
"Improper Passing",0,0
"Improper Turn",0,6
"Improper/Missing Plates",1,6
"Not Giving R of W to Pedes.",47,202
"Not Giving R of W to Veh.",1,3
"One Way Street",0,5
"Pavement Markings",2,24
"Safety Belt",181,669
"School Bus, Passing Stopped",2,21
Speeding,4,144
Spillback,1,1
"Tinted Windows",60,456
"Truck Routes",1,2
U-Turn,3,10
Uninspected,9,34
Uninsured,22,104
"Unlicensed Operator",59,206
Unregistered,17,40
"Unsafe Lane Change",1,12
"Other Movers",357,792
"111    TOTAL Movers ",1192,4036
"* All figures are preliminary and subject to change.",,
