"Moving Violations",,
"69th Precinct",,
"     May ",,
069sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,8
"Brake Lights (Defect.or Improper)",10,90
"Bus Lane, Driving in",0,0
"Cell Phone",118,425
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",26,137
"Disobey Traffic Control Device",96,478
"Equipment (Other)",7,13
"Fail to Keep Right",0,0
"Fail to Signal",4,41
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",11,162
"Improper Lights",0,0
"Improper Passing",18,91
"Improper Turn",57,380
"Improper/Missing Plates",1,18
"Not Giving R of W to Pedes.",5,81
"Not Giving R of W to Veh.",1,10
"One Way Street",0,4
"Pavement Markings",0,4
"Safety Belt",152,620
"School Bus, Passing Stopped",1,11
Speeding,36,187
Spillback,0,3
"Tinted Windows",165,882
"Truck Routes",2,16
U-Turn,0,0
Uninspected,0,2
Uninsured,41,270
"Unlicensed Operator",39,218
Unregistered,16,65
"Unsafe Lane Change",0,3
"Other Movers",61,226
"069    TOTAL Movers ",867,4447
"* All figures are preliminary and subject to change.",,
