"Moving Violations",,
Citywide,,
"     May ",,
citysum,,
"Offense Description","MTD 2015  ","YTD 2015  "
"Backing Unsafely",87,634
"Brake Lights (Defect.or Improper)",1092,7077
"Bus Lane, Driving in",153,1172
"Cell Phone",10332,37029
"Commercial Veh on Pkwy",119,569
"Defective Brakes",6,62
"Disobey Steady Red Signal",4266,19964
"Disobey Traffic Control Device",13614,71416
"Equipment (Other)",778,3287
"Fail to Keep Right",36,166
"Fail to Signal",2023,11007
"Following Too Closely",115,614
"Headlights (Defect. or Improper)",743,6916
"Improper Lights",133,1019
"Improper Passing",403,1722
"Improper Turn",6986,32776
"Improper/Missing Plates",358,1468
"Not Giving R of W to Pedes.",2639,15117
"Not Giving R of W to Veh.",304,1473
"One Way Street",400,1433
"Pavement Markings",1197,6515
"Safety Belt",10962,36012
"School Bus, Passing Stopped",192,1910
Speeding,10800,53003
Spillback,280,1270
"Tinted Windows",5640,32943
"Truck Routes",318,1546
U-Turn,334,2282
Uninspected,350,1475
Uninsured,2576,13744
"Unlicensed Operator",4854,21955
Unregistered,1012,4465
"Unsafe Lane Change",537,2794
"Other Movers",7368,28545
"TOTAL Movers ",91007,423380
,,
"* All figures are preliminary and subject to change.",,
