"Moving Violations",,
"23rd Precinct",,
"     May ",,
023sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,3
"Brake Lights (Defect.or Improper)",5,37
"Bus Lane, Driving in",0,3
"Cell Phone",185,806
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",86,352
"Disobey Traffic Control Device",125,286
"Equipment (Other)",15,43
"Fail to Keep Right",0,0
"Fail to Signal",1,31
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",3,43
"Improper Lights",0,0
"Improper Passing",4,15
"Improper Turn",228,453
"Improper/Missing Plates",3,3
"Not Giving R of W to Pedes.",64,265
"Not Giving R of W to Veh.",0,6
"One Way Street",6,12
"Pavement Markings",0,4
"Safety Belt",78,210
"School Bus, Passing Stopped",5,30
Speeding,25,86
Spillback,0,0
"Tinted Windows",1,74
"Truck Routes",1,19
U-Turn,0,2
Uninspected,0,0
Uninsured,6,17
"Unlicensed Operator",14,59
Unregistered,2,6
"Unsafe Lane Change",2,14
"Other Movers",43,113
"023    TOTAL Movers ",903,2992
"* All figures are preliminary and subject to change.",,
