46th Precinct,,
     May ,,
046sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,6,29
Brake Lights (Defect.or Improper),8,73
"Bus Lane, Driving in",2,18
Cell Phone,56,279
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,47,297
Disobey Traffic Control Device,158,771
Equipment (Other),6,18
Fail to Keep Right,1,1
Fail to Signal,15,99
Following Too Closely,2,7
Headlights (Defect. or Improper),4,40
Improper Lights,0,0
Improper Passing,0,5
Improper Turn,28,398
Improper/Missing Plates,0,4
Not Giving R of W to Pedes.,28,292
Not Giving R of W to Veh.,7,28
One Way Street,3,17
Pavement Markings,8,104
Safety Belt,80,301
"School Bus, Passing Stopped",4,50
Speeding,61,345
Spillback,2,4
Tinted Windows,261,1216
Truck Routes,0,0
U-Turn,3,64
Uninspected,1,7
Uninsured,26,395
Unlicensed Operator,47,254
Unregistered,8,87
Unsafe Lane Change,8,29
Other Movers,137,603
046    TOTAL Movers ,1017,5835
