103rd Precinct,,
     May ,,
103sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,8
Brake Lights (Defect.or Improper),3,17
"Bus Lane, Driving in",0,0
Cell Phone,103,360
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,36,156
Disobey Traffic Control Device,439,1840
Equipment (Other),1,1
Fail to Keep Right,0,0
Fail to Signal,9,77
Following Too Closely,0,0
Headlights (Defect. or Improper),3,18
Improper Lights,2,5
Improper Passing,0,4
Improper Turn,100,447
Improper/Missing Plates,4,8
Not Giving R of W to Pedes.,52,305
Not Giving R of W to Veh.,1,8
One Way Street,0,5
Pavement Markings,19,95
Safety Belt,231,609
"School Bus, Passing Stopped",3,16
Speeding,44,116
Spillback,6,30
Tinted Windows,275,1611
Truck Routes,36,137
U-Turn,35,182
Uninspected,2,6
Uninsured,10,65
Unlicensed Operator,123,494
Unregistered,3,21
Unsafe Lane Change,2,14
Other Movers,127,424
103    TOTAL Movers ,1669,7079
