102nd Precinct,,
     May ,,
102sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,0
Brake Lights (Defect.or Improper),2,39
"Bus Lane, Driving in",0,0
Cell Phone,100,387
Commercial Veh on Pkwy,1,1
Defective Brakes,0,2
Disobey Steady Red Signal,51,230
Disobey Traffic Control Device,144,796
Equipment (Other),0,4
Fail to Keep Right,3,4
Fail to Signal,10,75
Following Too Closely,0,0
Headlights (Defect. or Improper),2,17
Improper Lights,7,59
Improper Passing,5,15
Improper Turn,65,262
Improper/Missing Plates,1,5
Not Giving R of W to Pedes.,55,297
Not Giving R of W to Veh.,7,27
One Way Street,0,0
Pavement Markings,0,2
Safety Belt,117,522
"School Bus, Passing Stopped",2,11
Speeding,66,231
Spillback,2,5
Tinted Windows,43,302
Truck Routes,0,0
U-Turn,0,1
Uninspected,0,3
Uninsured,22,151
Unlicensed Operator,57,271
Unregistered,5,26
Unsafe Lane Change,5,13
Other Movers,62,253
102    TOTAL Movers ,834,4011
