94th Precinct,,
     May ,,
094sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,3,22
Brake Lights (Defect.or Improper),9,36
"Bus Lane, Driving in",0,0
Cell Phone,89,313
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,63,334
Disobey Traffic Control Device,96,474
Equipment (Other),14,36
Fail to Keep Right,0,1
Fail to Signal,10,51
Following Too Closely,0,2
Headlights (Defect. or Improper),9,84
Improper Lights,0,0
Improper Passing,4,11
Improper Turn,21,105
Improper/Missing Plates,5,19
Not Giving R of W to Pedes.,14,48
Not Giving R of W to Veh.,4,21
One Way Street,8,53
Pavement Markings,4,10
Safety Belt,77,389
"School Bus, Passing Stopped",0,1
Speeding,60,239
Spillback,0,0
Tinted Windows,61,447
Truck Routes,9,56
U-Turn,4,15
Uninspected,4,23
Uninsured,20,106
Unlicensed Operator,46,148
Unregistered,14,50
Unsafe Lane Change,1,5
Other Movers,70,232
094    TOTAL Movers ,719,3331
