52nd Precinct,,
     May ,,
052sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,6
Brake Lights (Defect.or Improper),36,478
"Bus Lane, Driving in",24,70
Cell Phone,93,218
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,39,179
Disobey Traffic Control Device,150,473
Equipment (Other),4,7
Fail to Keep Right,8,11
Fail to Signal,7,85
Following Too Closely,0,0
Headlights (Defect. or Improper),14,231
Improper Lights,3,29
Improper Passing,6,35
Improper Turn,110,513
Improper/Missing Plates,1,27
Not Giving R of W to Pedes.,15,70
Not Giving R of W to Veh.,2,12
One Way Street,0,4
Pavement Markings,58,115
Safety Belt,55,226
"School Bus, Passing Stopped",1,15
Speeding,34,363
Spillback,0,0
Tinted Windows,199,1100
Truck Routes,2,20
U-Turn,6,24
Uninspected,3,25
Uninsured,25,184
Unlicensed Operator,53,336
Unregistered,21,113
Unsafe Lane Change,0,17
Other Movers,25,93
052    TOTAL Movers ,995,5079
