34th Precinct,,
     May ,,
034sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,2
Brake Lights (Defect.or Improper),8,24
"Bus Lane, Driving in",0,0
Cell Phone,31,135
Commercial Veh on Pkwy,1,1
Defective Brakes,1,1
Disobey Steady Red Signal,12,127
Disobey Traffic Control Device,346,1184
Equipment (Other),3,18
Fail to Keep Right,0,7
Fail to Signal,10,59
Following Too Closely,0,0
Headlights (Defect. or Improper),9,41
Improper Lights,0,0
Improper Passing,0,0
Improper Turn,53,253
Improper/Missing Plates,0,5
Not Giving R of W to Pedes.,8,84
Not Giving R of W to Veh.,0,4
One Way Street,0,0
Pavement Markings,4,11
Safety Belt,42,91
"School Bus, Passing Stopped",1,12
Speeding,16,67
Spillback,0,0
Tinted Windows,5,117
Truck Routes,0,1
U-Turn,14,29
Uninspected,0,2
Uninsured,20,54
Unlicensed Operator,46,137
Unregistered,10,28
Unsafe Lane Change,1,1
Other Movers,28,136
034    TOTAL Movers ,669,2631
