Brooklyn North,,
     May ,,
pbbnsum,,
"",MTD   2015,YTD   2015
Backing Unsafely,14,122
Brake Lights (Defect.or Improper),231,1454
"Bus Lane, Driving in",8,122
Cell Phone,1253,5013
Commercial Veh on Pkwy,2,2
Defective Brakes,1,9
Disobey Steady Red Signal,570,3479
Disobey Traffic Control Device,1593,8191
Equipment (Other),41,184
Fail to Keep Right,5,29
Fail to Signal,278,1618
Following Too Closely,5,35
Headlights (Defect. or Improper),188,1630
Improper Lights,2,11
Improper Passing,36,245
Improper Turn,465,2762
Improper/Missing Plates,19,114
Not Giving R of W to Pedes.,162,1038
Not Giving R of W to Veh.,60,307
One Way Street,89,375
Pavement Markings,103,616
Safety Belt,1407,5694
"School Bus, Passing Stopped",13,94
Speeding,342,1713
Spillback,12,64
Tinted Windows,742,5204
Truck Routes,19,134
U-Turn,15,120
Uninspected,32,201
Uninsured,361,2156
Unlicensed Operator,633,3059
Unregistered,148,775
Unsafe Lane Change,11,67
Other Movers,901,3796
PBBN   TOTAL Movers ,9761,50433
