"Moving Violations",,
"115th Precinct",,
"     May ",,
115sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",2,8
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",116,324
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",58,355
"Disobey Traffic Control Device",276,1105
"Equipment (Other)",38,57
"Fail to Keep Right",0,0
"Fail to Signal",39,197
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",0,5
"Improper Lights",56,377
"Improper Passing",6,26
"Improper Turn",62,290
"Improper/Missing Plates",13,25
"Not Giving R of W to Pedes.",14,215
"Not Giving R of W to Veh.",3,18
"One Way Street",2,15
"Pavement Markings",15,36
"Safety Belt",118,527
"School Bus, Passing Stopped",4,14
Speeding,58,289
Spillback,4,19
"Tinted Windows",164,1011
"Truck Routes",2,12
U-Turn,0,0
Uninspected,22,66
Uninsured,110,586
"Unlicensed Operator",335,1579
Unregistered,38,82
"Unsafe Lane Change",3,6
"Other Movers",99,328
"115    TOTAL Movers ",1657,7574
"* All figures are preliminary and subject to change.",,
