61st Precinct,,
     May ,,
061sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,0
Brake Lights (Defect.or Improper),0,6
"Bus Lane, Driving in",0,0
Cell Phone,169,717
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,10,50
Disobey Traffic Control Device,24,157
Equipment (Other),2,4
Fail to Keep Right,0,0
Fail to Signal,4,15
Following Too Closely,0,1
Headlights (Defect. or Improper),0,5
Improper Lights,0,2
Improper Passing,2,8
Improper Turn,5,73
Improper/Missing Plates,5,13
Not Giving R of W to Pedes.,49,236
Not Giving R of W to Veh.,3,15
One Way Street,1,12
Pavement Markings,0,4
Safety Belt,301,849
"School Bus, Passing Stopped",0,9
Speeding,62,202
Spillback,0,2
Tinted Windows,32,234
Truck Routes,0,0
U-Turn,0,5
Uninspected,0,0
Uninsured,20,85
Unlicensed Operator,33,148
Unregistered,7,41
Unsafe Lane Change,1,6
Other Movers,22,105
061    TOTAL Movers ,752,3004
