40th Precinct,,
     May ,,
040sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,6
Brake Lights (Defect.or Improper),45,361
"Bus Lane, Driving in",0,0
Cell Phone,106,309
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,48,246
Disobey Traffic Control Device,195,757
Equipment (Other),3,75
Fail to Keep Right,0,2
Fail to Signal,13,47
Following Too Closely,1,1
Headlights (Defect. or Improper),34,404
Improper Lights,1,1
Improper Passing,4,16
Improper Turn,116,482
Improper/Missing Plates,4,27
Not Giving R of W to Pedes.,45,288
Not Giving R of W to Veh.,5,11
One Way Street,3,12
Pavement Markings,10,52
Safety Belt,118,266
"School Bus, Passing Stopped",4,16
Speeding,115,386
Spillback,1,5
Tinted Windows,87,637
Truck Routes,0,0
U-Turn,5,32
Uninspected,1,9
Uninsured,66,480
Unlicensed Operator,72,368
Unregistered,23,88
Unsafe Lane Change,3,9
Other Movers,49,140
040    TOTAL Movers ,1177,5533
