"Moving Violations",,
"122nd Precinct",,
"     May ",,
122sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,1
"Brake Lights (Defect.or Improper)",17,78
"Bus Lane, Driving in",1,12
"Cell Phone",157,408
"Commercial Veh on Pkwy",7,11
"Defective Brakes",0,5
"Disobey Steady Red Signal",25,107
"Disobey Traffic Control Device",168,773
"Equipment (Other)",19,47
"Fail to Keep Right",0,1
"Fail to Signal",65,274
"Following Too Closely",5,21
"Headlights (Defect. or Improper)",3,42
"Improper Lights",0,1
"Improper Passing",2,3
"Improper Turn",7,28
"Improper/Missing Plates",17,66
"Not Giving R of W to Pedes.",11,53
"Not Giving R of W to Veh.",7,26
"One Way Street",2,16
"Pavement Markings",22,79
"Safety Belt",194,484
"School Bus, Passing Stopped",4,14
Speeding,155,701
Spillback,1,1
"Tinted Windows",85,708
"Truck Routes",17,32
U-Turn,11,58
Uninspected,6,23
Uninsured,46,221
"Unlicensed Operator",124,439
Unregistered,20,84
"Unsafe Lane Change",12,50
"Other Movers",148,426
"122    TOTAL Movers ",1358,5293
"* All figures are preliminary and subject to change.",,
