Bronx,,
     May ,,
pbbxsum,,
"",MTD   2015,YTD   2015
Backing Unsafely,19,129
Brake Lights (Defect.or Improper),320,2258
"Bus Lane, Driving in",26,90
Cell Phone,1046,3263
Commercial Veh on Pkwy,3,4
Defective Brakes,0,1
Disobey Steady Red Signal,475,2203
Disobey Traffic Control Device,1571,7851
Equipment (Other),40,203
Fail to Keep Right,12,25
Fail to Signal,114,947
Following Too Closely,6,27
Headlights (Defect. or Improper),196,2076
Improper Lights,6,53
Improper Passing,21,98
Improper Turn,922,4610
Improper/Missing Plates,33,175
Not Giving R of W to Pedes.,262,2053
Not Giving R of W to Veh.,40,149
One Way Street,15,83
Pavement Markings,180,728
Safety Belt,1098,3515
"School Bus, Passing Stopped",74,431
Speeding,730,3460
Spillback,13,100
Tinted Windows,1097,6635
Truck Routes,33,165
U-Turn,55,544
Uninspected,26,142
Uninsured,418,2697
Unlicensed Operator,619,2998
Unregistered,184,915
Unsafe Lane Change,26,243
Other Movers,565,1940
PBBX   TOTAL Movers ,10245,50811
