114th Precinct,,
Backing Unsafely,2,10
Brake Lights (Defect.or Improper),0,1
"Bus Lane, Driving in",0,0
Cell Phone,124,685
Commercial Veh on Pkwy,0,0
Defective Brakes,0,1
Disobey Steady Red Signal,78,345
Disobey Traffic Control Device,323,1651
Equipment (Other),27,39
Fail to Keep Right,0,2
Fail to Signal,15,63
Following Too Closely,0,1
Headlights (Defect. or Improper),0,5
Improper Lights,13,55
Improper Passing,1,10
Improper Turn,59,329
Improper/Missing Plates,5,13
Not Giving R of W to Pedes.,17,117
Not Giving R of W to Veh.,3,14
OBSTRUCTED PLATE,0,0
One Way Street,1,6
Pavement Markings,8,85
Safety Belt,161,760
"School Bus, Passing Stopped",0,16
Speeding,70,271
Spillback,0,2
Tinted Windows,31,547
Truck Routes,0,2
U-Turn,0,2
Uninspected,4,19
Uninsured,26,149
Unlicensed Operator,82,442
Unregistered,6,29
Unsafe Lane Change,2,3
Other Movers,83,502
TOTAL Movers,1141,6176
