"Moving Violations",,
"Patrol Bureau",,
"  August ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",37,449
"Bike Lane",203,1037
"Bus Lane",173,2216
"Cell Phone",2899,25400
"Commercial Veh on Pkwy",23,176
"Cruising For Passengers",1,9
"Disobey Traffic Control Device",10627,112778
"Driving Too Slow",0,14
Equipment,1814,14541
"Equipment (Other)",4,46
"Excessive Noise",0,1
"Fail to Keep Right",6,65
"Fail to yield Right of Way to Pedestrian",3801,38065
"Failure to Signal",808,9601
"Failure to yield Right of Way to Vehicle",9,55
"Following Too Closely",28,186
"Improper Passing",217,1503
"Improper Taxi Pickup",16,161
"Improper Turn",4902,48924
"Improper/Missing Plates",92,708
"Lamps and Other Equipment on Bicycle",6,83
"Motorcycle (Other)",200,968
"Not Giving R of W to Veh.",63,727
"Obstructed Plate",493,4777
"One Way Street",247,2561
Overheight,0,2
Overlength,1,4
Overweight,0,1
Overwidth,0,0
"Pavement Markings",10,127
"Red Light",4991,46645
"School Bus",20,1282
"Scooter In NYC",2,47
"Seat Belt",5942,45022
Speeding,5827,47552
Spillback,22,344
"TBTA Rule",0,2
Tints,1657,22245
"TLC (Other)",3,35
"Truck Route",110,848
Uninspected,205,1459
Uninsured,637,6805
"Unlicensed Operator",3265,29619
Unregistered,719,6173
"Unsafe Lane Change",185,1604
"Other Movers",6106,52519
"PATROLTOTAL Movers ",56371,527386
"* All figures are preliminary and subject to change.",,
