"Moving Violations",,
Citywide,,
"  August ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",43,557
"Bike Lane",211,1095
"Bus Lane",319,3867
"Cell Phone",3244,27752
"Commercial Veh on Pkwy",266,2096
"Cruising For Passengers",3,54
"Disobey Traffic Control Device",13704,140640
"Driving Too Slow",2,39
Equipment,2327,21091
"Equipment (Other)",6,60
"Excessive Noise",0,1
"Fail to Keep Right",7,79
"Fail to yield Right of Way to Pedestrian",4315,41542
"Failure to Signal",1114,12535
"Failure to yield Right of Way to Vehicle",9,63
"Following Too Closely",83,672
"Improper Passing",254,1950
"Improper Taxi Pickup",158,1454
"Improper Turn",6419,60214
"Improper/Missing Plates",126,937
"Lamps and Other Equipment on Bicycle",8,89
"Motorcycle (Other)",294,1728
"Not Giving R of W to Veh.",81,1021
"Obstructed Plate",639,6281
"One Way Street",328,4046
Overheight,12,84
Overlength,8,43
Overweight,9,89
Overwidth,0,0
"Pavement Markings",23,254
"Red Light",5379,49253
"School Bus",21,1627
"Scooter In NYC",2,47
"Seat Belt",7219,52174
Speeding,12193,103467
Spillback,263,5295
"TBTA Rule",0,2
Tints,2136,33522
"TLC (Other)",3,35
"Truck Route",139,1166
Uninspected,286,2272
Uninsured,779,8118
"Unlicensed Operator",3955,35456
Unregistered,923,7881
"Unsafe Lane Change",362,3202
"Other Movers",8013,65786
"CitywideTOTAL Movers ",75685,699636
"* All figures are preliminary and subject to change.",,
