"Moving Violations",,
"Queens South",,
"   April ",,
pbqssum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",6,34
"Brake Lights (Defect.or Improper)",161,656
"Bus Lane, Driving in",0,0
"Cell Phone",588,1958
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,3
"Disobey Steady Red Signal",231,1018
"Disobey Traffic Control Device",1282,4590
"Equipment (Other)",12,69
"Fail to Keep Right",0,1
"Fail to Signal",102,383
"Following Too Closely",1,6
"Headlights (Defect. or Improper)",68,480
"Improper Lights",22,127
"Improper Passing",27,80
"Improper Turn",1024,3143
"Improper/Missing Plates",12,36
"Not Giving R of W to Pedes.",257,830
"Not Giving R of W to Veh.",28,124
"One Way Street",4,15
"Pavement Markings",96,400
"Safety Belt",837,2658
"School Bus, Passing Stopped",32,58
Speeding,397,1135
Spillback,2,35
"Tinted Windows",731,3236
"Truck Routes",59,143
U-Turn,54,216
Uninspected,27,129
Uninsured,315,1311
"Unlicensed Operator",539,2034
Unregistered,69,246
"Unsafe Lane Change",9,34
"Other Movers",507,1504
"PBQS   TOTAL Movers ",7499,26693
"* All figures are preliminary and subject to change.",,
