10th Precinct,,
   April ,,
010sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,9
Brake Lights (Defect.or Improper),30,135
"Bus Lane, Driving in",0,0
Cell Phone,138,449
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,41,158
Disobey Traffic Control Device,66,285
Equipment (Other),0,0
Fail to Keep Right,1,2
Fail to Signal,7,51
Following Too Closely,0,1
Headlights (Defect. or Improper),9,81
Improper Lights,16,60
Improper Passing,3,4
Improper Turn,122,440
Improper/Missing Plates,2,2
Not Giving R of W to Pedes.,18,146
Not Giving R of W to Veh.,1,3
One Way Street,7,14
Pavement Markings,15,31
Safety Belt,77,335
"School Bus, Passing Stopped",4,4
Speeding,0,31
Spillback,7,8
Tinted Windows,12,63
Truck Routes,0,10
U-Turn,0,2
Uninspected,0,5
Uninsured,16,65
Unlicensed Operator,40,123
Unregistered,10,34
Unsafe Lane Change,1,10
Other Movers,47,201
010    TOTAL Movers ,691,2762
