Brooklyn North,,
   April ,,
pbbnsum,,
"",MTD   2015,YTD   2015
Backing Unsafely,28,108
Brake Lights (Defect.or Improper),269,1223
"Bus Lane, Driving in",18,114
Cell Phone,954,3760
Commercial Veh on Pkwy,0,0
Defective Brakes,7,8
Disobey Steady Red Signal,798,2909
Disobey Traffic Control Device,1594,6598
Equipment (Other),57,143
Fail to Keep Right,7,24
Fail to Signal,333,1340
Following Too Closely,7,30
Headlights (Defect. or Improper),270,1442
Improper Lights,4,9
Improper Passing,51,209
Improper Turn,552,2297
Improper/Missing Plates,38,95
Not Giving R of W to Pedes.,202,876
Not Giving R of W to Veh.,64,247
One Way Street,117,286
Pavement Markings,112,513
Safety Belt,1337,4287
"School Bus, Passing Stopped",56,81
Speeding,401,1371
Spillback,10,52
Tinted Windows,1063,4462
Truck Routes,22,115
U-Turn,18,105
Uninspected,51,169
Uninsured,414,1795
Unlicensed Operator,657,2426
Unregistered,181,627
Unsafe Lane Change,16,56
Other Movers,820,2895
PBBN   TOTAL Movers ,10528,40672
